sn,date,branch,pizza_sold,price,quantity,time,time_range
1281,2015-12-09,Gbagada,BBQ Chicken,4000,2,08:35:15,Before 9:00am
1282,2015-12-05,Ibadan,BBQ Chicken,4000,4,08:35:17,Before 9:00am
1283,2015-12-09,Lekki,Hot Veggie,4000,1,08:35:19,Before 9:00am
1284,2015-12-14,Gbagada,Pepperoni Suya,3000,1,08:35:19,Before 9:00am
1285,2015-12-05,Surulere,Pepperoni Suya,3000,1,08:35:19,Before 9:00am
1286,2015-12-14,Gbagada,Chicken Bali,2000,2,08:35:21,Before 9:00am
1287,2015-12-13,Gbagada,Meatzaa,2000,1,08:35:21,Before 9:00am
1288,2015-12-11,Gbagada,Italiano,3000,2,08:35:26,Before 9:00am
1289,2015-12-05,Lekki,BBQ Philly Steak,4000,3,08:35:26,Before 9:00am
1290,2015-12-15,Ikoyi,Italiano,3000,4,08:35:27,Before 9:00am
1291,2015-12-14,Ikoyi,Hot Veggie,4000,4,08:35:30,Before 9:00am
1292,2015-12-07,Gbagada,Beef Suya,3000,2,08:35:31,Before 9:00am
1293,2015-12-10,Ibadan,Pepperoni Feast,4000,1,08:35:31,Before 9:00am
1294,2015-12-12,Ikoyi,Italiano,3000,1,08:35:35,Before 9:00am
1295,2015-12-08,Surulere,Chicken Feast,2000,4,08:35:36,Before 9:00am
1296,2015-12-15,Lekki,Pepperoni Feast,4000,1,08:35:36,Before 9:00am
1297,2015-12-03,Gbagada,BBQ Philly Steak,4000,1,08:35:36,Before 9:00am
1298,2015-12-12,Gbagada,Hot Pepperoni Feast,4000,5,08:35:37,Before 9:00am
1299,2015-12-08,Surulere,Beef Suya,3000,3,08:35:38,Before 9:00am
1300,2015-12-09,Lekki,Chicken Feast,2000,1,08:35:39,Before 9:00am
1301,2015-12-10,Ikoyi,Meatzaa,2000,2,08:35:43,Before 9:00am
1302,2015-12-13,Gbagada,Italiano,3000,1,08:35:44,Before 9:00am
1303,2015-12-10,Lekki,Chicken Bali,2000,5,08:35:44,Before 9:00am
1304,2015-12-11,Ikoyi,Chicken Suya,4000,5,08:35:48,Before 9:00am
1305,2015-12-14,Gbagada,Veggie Supreme,3000,5,08:35:50,Before 9:00am
1306,2015-12-12,Surulere,BBQ Chicken,4000,2,08:35:51,Before 9:00am
1307,2015-12-13,Lekki,Pepperoni Feast,4000,2,08:35:53,Before 9:00am
1308,2015-12-06,Surulere,Meatzaa,2000,1,08:35:54,Before 9:00am
1309,2015-12-12,Surulere,Italiano,3000,2,08:35:56,Before 9:00am
1310,2015-12-11,Lekki,Hot Pepperoni Feast,4000,1,08:35:56,Before 9:00am
1311,2015-12-11,Surulere,Meatzaa,2000,2,08:35:57,Before 9:00am
1312,2015-12-10,Ikoyi,Extravaganza,2000,2,08:35:58,Before 9:00am
1313,2015-12-10,Gbagada,Pepperoni Feast,4000,3,08:35:58,Before 9:00am
1314,2015-12-12,Surulere,Pepperoni Feast,4000,1,08:35:58,Before 9:00am
1315,2015-12-03,Surulere,Hot Veggie,4000,1,08:35:59,Before 9:00am
1316,2015-12-15,Surulere,Beef Suya,3000,3,08:35:59,Before 9:00am
1317,2015-12-08,Ikoyi,BBQ Chicken,4000,2,08:36:00,Before 9:00am
1318,2015-12-08,Ibadan,Chicken Legend,2000,1,08:36:01,Before 9:00am
1319,2015-12-10,Ibadan,Beef Suya,3000,3,08:36:03,Before 9:00am
1320,2015-12-07,Ikoyi,Veggie Supreme,3000,1,08:36:05,Before 9:00am
1321,2015-12-09,Lekki,Chicken Feast,2000,3,08:36:06,Before 9:00am
1322,2015-12-08,Surulere,Meatzaa,2000,5,08:36:09,Before 9:00am
1323,2015-12-04,Gbagada,Hot Pepperoni Feast,4000,5,08:36:11,Before 9:00am
1324,2015-12-08,Gbagada,Chicken Legend,2000,3,08:36:11,Before 9:00am
1325,2015-12-12,Surulere,Chicken Legend,2000,5,08:36:13,Before 9:00am
1326,2015-12-13,Lekki,Margarita,4000,3,08:36:14,Before 9:00am
1327,2015-12-03,Ibadan,Italiano,3000,1,08:36:16,Before 9:00am
1328,2015-12-13,Ibadan,Hot Pepperoni Feast,4000,5,08:36:17,Before 9:00am
1329,2015-12-03,Lekki,Pepperoni Suya,3000,2,08:36:17,Before 9:00am
1330,2015-12-12,Lekki,Hot Veggie,4000,4,08:36:19,Before 9:00am
1331,2015-12-12,Gbagada,BBQ Chicken,4000,3,08:36:20,Before 9:00am
1332,2015-12-05,Surulere,BBQ Philly Steak,4000,4,08:36:21,Before 9:00am
1333,2015-12-09,Ibadan,BBQ Philly Steak,4000,2,08:36:22,Before 9:00am
1334,2015-12-12,Lekki,Veggie Supreme,3000,1,08:36:23,Before 9:00am
1335,2015-12-06,Gbagada,Beef Suya,3000,5,08:36:23,Before 9:00am
1336,2015-12-13,Gbagada,Hot Veggie,4000,5,08:36:24,Before 9:00am
1337,2015-12-08,Surulere,Chicken Bali,2000,4,08:36:25,Before 9:00am
1338,2015-12-06,Gbagada,Veggie Supreme,3000,5,08:36:26,Before 9:00am
1339,2015-12-04,Gbagada,BBQ Philly Steak,4000,4,08:36:26,Before 9:00am
1340,2015-12-09,Ibadan,BBQ Philly Steak,4000,3,08:36:27,Before 9:00am
1341,2015-12-07,Ikoyi,BBQ Philly Steak,4000,3,08:36:27,Before 9:00am
1342,2015-12-08,Surulere,Italiano,3000,5,08:36:27,Before 9:00am
1343,2015-12-09,Lekki,Hot Pepperoni Feast,4000,5,08:36:29,Before 9:00am
1344,2015-12-11,Lekki,BBQ Philly Steak,4000,5,08:36:29,Before 9:00am
1345,2015-12-07,Ibadan,Meatzaa,2000,4,08:36:29,Before 9:00am
1346,2015-12-13,Gbagada,Italiano,3000,3,08:36:32,Before 9:00am
1347,2015-12-05,Gbagada,BBQ Chicken,4000,3,08:36:34,Before 9:00am
1348,2015-12-14,Surulere,Chicken Suya,4000,5,08:36:34,Before 9:00am
1349,2015-12-14,Gbagada,Chicken Feast,2000,1,08:36:34,Before 9:00am
1350,2015-12-08,Gbagada,Chicken Suya,4000,2,08:36:35,Before 9:00am
1351,2015-12-04,Surulere,Beef Suya,3000,1,08:36:36,Before 9:00am
1352,2015-12-07,Ibadan,BBQ Chicken,4000,5,08:36:36,Before 9:00am
1353,2015-12-12,Lekki,Pepperoni Feast,4000,5,08:36:37,Before 9:00am
1354,2015-12-15,Gbagada,Margarita,4000,2,08:36:41,Before 9:00am
1355,2015-12-10,Gbagada,Chicken Feast,2000,4,08:36:41,Before 9:00am
1356,2015-12-09,Lekki,Chicken Legend,2000,5,08:36:44,Before 9:00am
1357,2015-12-11,Ikoyi,Chicken Bali,2000,1,08:36:45,Before 9:00am
1358,2015-12-03,Surulere,Margarita,4000,3,08:36:55,Before 9:00am
1359,2015-12-07,Ibadan,Chicken Feast,2000,4,08:36:56,Before 9:00am
1360,2015-12-10,Gbagada,Beef Suya,3000,2,08:36:56,Before 9:00am
1361,2015-12-11,Ibadan,Italiano,3000,4,08:37:00,Before 9:00am
1362,2015-12-07,Surulere,Extravaganza,2000,4,08:37:01,Before 9:00am
1363,2015-12-12,Ibadan,Beef Suya,3000,4,08:37:03,Before 9:00am
1364,2015-12-04,Gbagada,Chicken Suya,4000,1,08:37:03,Before 9:00am
1365,2015-12-08,Surulere,Hot Pepperoni Feast,4000,5,08:37:04,Before 9:00am
1366,2015-12-08,Ibadan,Hot Veggie,4000,2,08:37:05,Before 9:00am
1367,2015-12-08,Gbagada,Chicken Feast,2000,3,08:37:07,Before 9:00am
1368,2015-12-12,Surulere,Chicken Bali,2000,2,08:37:09,Before 9:00am
1369,2015-12-05,Surulere,Chicken Legend,2000,2,08:37:09,Before 9:00am
1370,2015-12-13,Ikoyi,Beef Suya,3000,3,08:37:10,Before 9:00am
1371,2015-12-10,Lekki,Veggie Supreme,3000,3,08:37:12,Before 9:00am
1372,2015-12-12,Ikoyi,Margarita,4000,1,08:37:16,Before 9:00am
1373,2015-12-13,Gbagada,Pepperoni Suya,3000,3,08:37:18,Before 9:00am
1374,2015-12-11,Ibadan,Meatzaa,2000,3,08:37:19,Before 9:00am
1375,2015-12-03,Gbagada,Chicken Suya,4000,2,08:37:22,Before 9:00am
1376,2015-12-06,Surulere,Chicken Legend,2000,1,08:37:23,Before 9:00am
1377,2015-12-09,Surulere,Meatzaa,2000,3,08:37:24,Before 9:00am
1378,2015-12-10,Lekki,Pepperoni Feast,4000,5,08:37:24,Before 9:00am
1379,2015-12-13,Lekki,BBQ Philly Steak,4000,1,08:37:24,Before 9:00am
1380,2015-12-04,Ikoyi,Margarita,4000,1,08:37:25,Before 9:00am
1381,2015-12-09,Ikoyi,Meatzaa,2000,4,08:37:28,Before 9:00am
1382,2015-12-04,Ibadan,Chicken Suya,4000,3,08:37:28,Before 9:00am
1383,2015-12-03,Surulere,Meatzaa,2000,2,08:37:28,Before 9:00am
1384,2015-12-12,Surulere,Pepperoni Suya,3000,1,08:37:32,Before 9:00am
1385,2015-12-12,Surulere,Veggie Supreme,3000,3,08:37:32,Before 9:00am
1386,2015-12-09,Lekki,Italiano,3000,1,08:37:32,Before 9:00am
1387,2015-12-15,Lekki,Chicken Bali,2000,4,08:37:37,Before 9:00am
1388,2015-12-04,Lekki,Chicken Feast,2000,2,08:37:37,Before 9:00am
1389,2015-12-10,Surulere,Chicken Suya,4000,1,08:37:38,Before 9:00am
1390,2015-12-03,Ibadan,Hot Pepperoni Feast,4000,5,08:37:40,Before 9:00am
1391,2015-12-13,Ibadan,BBQ Chicken,4000,1,08:37:44,Before 9:00am
1392,2015-12-10,Ibadan,Italiano,3000,3,08:37:45,Before 9:00am
1393,2015-12-12,Gbagada,Italiano,3000,3,08:37:46,Before 9:00am
1394,2015-12-07,Ikoyi,Beef Suya,3000,4,08:37:47,Before 9:00am
1395,2015-12-03,Ibadan,Hot Veggie,4000,3,08:37:49,Before 9:00am
1396,2015-12-06,Ibadan,Italiano,3000,3,08:37:53,Before 9:00am
1397,2015-12-14,Surulere,Chicken Bali,2000,2,08:37:55,Before 9:00am
1398,2015-12-09,Lekki,Meatzaa,2000,1,08:37:56,Before 9:00am
1399,2015-12-13,Gbagada,Chicken Bali,2000,1,08:37:57,Before 9:00am
1400,2015-12-05,Gbagada,Italiano,3000,2,08:38:00,Before 9:00am
1401,2015-12-13,Gbagada,BBQ Philly Steak,4000,2,08:38:00,Before 9:00am
1402,2015-12-14,Ikoyi,Hot Pepperoni Feast,4000,4,08:38:01,Before 9:00am
1403,2015-12-13,Ikoyi,BBQ Chicken,4000,1,08:38:02,Before 9:00am
1404,2015-12-11,Ikoyi,BBQ Chicken,4000,4,08:38:04,Before 9:00am
1405,2015-12-03,Ibadan,Pepperoni Feast,4000,5,08:38:06,Before 9:00am
1406,2015-12-15,Ikoyi,BBQ Philly Steak,4000,2,08:38:07,Before 9:00am
1407,2015-12-04,Surulere,Pepperoni Suya,3000,4,08:38:08,Before 9:00am
1408,2015-12-05,Surulere,Chicken Feast,2000,5,08:38:10,Before 9:00am
1409,2015-12-12,Gbagada,Beef Suya,3000,2,08:38:12,Before 9:00am
1410,2015-12-13,Ikoyi,Chicken Legend,2000,4,08:38:12,Before 9:00am
1411,2015-12-13,Ibadan,Beef Suya,3000,3,08:38:14,Before 9:00am
1412,2015-12-14,Surulere,Meatzaa,2000,3,08:38:14,Before 9:00am
1413,2015-12-04,Gbagada,BBQ Philly Steak,4000,5,08:38:16,Before 9:00am
1414,2015-12-15,Lekki,Veggie Supreme,3000,4,08:38:20,Before 9:00am
1415,2015-12-07,Ikoyi,BBQ Chicken,4000,3,08:38:21,Before 9:00am
1416,2015-12-09,Surulere,Italiano,3000,3,08:38:23,Before 9:00am
1417,2015-12-14,Ikoyi,Pepperoni Feast,4000,5,08:38:24,Before 9:00am
1418,2015-12-06,Ibadan,Extravaganza,2000,1,08:38:26,Before 9:00am
1419,2015-12-08,Lekki,Meatzaa,2000,2,08:38:32,Before 9:00am
1420,2015-12-10,Surulere,Hot Pepperoni Feast,4000,3,08:38:32,Before 9:00am
1421,2015-12-04,Ibadan,Beef Suya,3000,5,08:38:34,Before 9:00am
1422,2015-12-13,Lekki,Beef Suya,3000,4,08:38:34,Before 9:00am
1423,2015-12-13,Gbagada,BBQ Philly Steak,4000,3,08:38:35,Before 9:00am
1424,2015-12-07,Gbagada,Hot Pepperoni Feast,4000,2,08:38:35,Before 9:00am
1425,2015-12-11,Gbagada,Italiano,3000,1,08:38:37,Before 9:00am
1426,2015-12-14,Ibadan,Beef Suya,3000,3,08:38:39,Before 9:00am
1427,2015-12-09,Gbagada,BBQ Chicken,4000,2,08:38:40,Before 9:00am
1428,2015-12-04,Lekki,BBQ Chicken,4000,4,08:38:41,Before 9:00am
1429,2015-12-04,Ikoyi,Italiano,3000,2,08:38:43,Before 9:00am
1430,2015-12-10,Gbagada,Meatzaa,2000,3,08:38:45,Before 9:00am
1431,2015-12-11,Surulere,Hot Pepperoni Feast,4000,1,08:38:46,Before 9:00am
1432,2015-12-03,Surulere,Chicken Legend,2000,3,08:38:46,Before 9:00am
1433,2015-12-13,Ikoyi,Hot Pepperoni Feast,4000,3,08:38:46,Before 9:00am
1434,2015-12-04,Ikoyi,Italiano,3000,5,08:38:52,Before 9:00am
1435,2015-12-10,Surulere,Hot Pepperoni Feast,4000,5,08:38:52,Before 9:00am
1436,2015-12-15,Gbagada,Chicken Feast,2000,3,08:38:53,Before 9:00am
1437,2015-12-09,Gbagada,Hot Pepperoni Feast,4000,4,08:38:54,Before 9:00am
1438,2015-12-08,Surulere,Extravaganza,2000,5,08:38:56,Before 9:00am
1439,2015-12-05,Ibadan,Extravaganza,2000,5,08:38:56,Before 9:00am
1440,2015-12-09,Lekki,Chicken Suya,4000,2,08:38:57,Before 9:00am
1441,2015-12-15,Ikoyi,Chicken Suya,4000,2,08:38:59,Before 9:00am
1442,2015-12-12,Ikoyi,Meatzaa,2000,5,08:39:01,Before 9:00am
1443,2015-12-09,Ibadan,Pepperoni Suya,3000,2,08:39:02,Before 9:00am
1444,2015-12-14,Ibadan,Pepperoni Suya,3000,4,08:39:02,Before 9:00am
1445,2015-12-03,Surulere,Italiano,3000,4,08:39:05,Before 9:00am
1446,2015-12-08,Ibadan,Chicken Bali,2000,5,08:39:08,Before 9:00am
1447,2015-12-07,Ikoyi,Hot Pepperoni Feast,4000,5,08:39:08,Before 9:00am
1448,2015-12-09,Ikoyi,Pepperoni Feast,4000,5,08:39:12,Before 9:00am
1449,2015-12-10,Ibadan,Beef Suya,3000,4,08:39:13,Before 9:00am
1450,2015-12-07,Ikoyi,Meatzaa,2000,3,08:39:14,Before 9:00am
1451,2015-12-07,Ikoyi,Chicken Bali,2000,3,08:39:14,Before 9:00am
1452,2015-12-04,Gbagada,Hot Pepperoni Feast,4000,2,08:39:14,Before 9:00am
1453,2015-12-15,Lekki,Beef Suya,3000,5,08:39:14,Before 9:00am
1454,2015-12-10,Surulere,Hot Pepperoni Feast,4000,2,08:39:15,Before 9:00am
1455,2015-12-03,Ikoyi,BBQ Philly Steak,4000,3,08:39:16,Before 9:00am
1456,2015-12-14,Ibadan,Margarita,4000,4,08:39:17,Before 9:00am
1457,2015-12-13,Lekki,Chicken Suya,4000,3,08:39:19,Before 9:00am
1458,2015-12-13,Lekki,Beef Suya,3000,4,08:39:22,Before 9:00am
1459,2015-12-07,Surulere,Extravaganza,2000,1,08:39:23,Before 9:00am
1460,2015-12-03,Surulere,Meatzaa,2000,3,08:39:23,Before 9:00am
1461,2015-12-14,Lekki,Beef Suya,3000,1,08:39:24,Before 9:00am
1462,2015-12-04,Surulere,Margarita,4000,5,08:39:24,Before 9:00am
1463,2015-12-06,Surulere,Hot Pepperoni Feast,4000,4,08:39:24,Before 9:00am
1464,2015-12-09,Surulere,Chicken Legend,2000,3,08:39:26,Before 9:00am
1465,2015-12-14,Surulere,Chicken Feast,2000,2,08:39:26,Before 9:00am
1466,2015-12-14,Surulere,Chicken Legend,2000,1,08:39:26,Before 9:00am
1467,2015-12-08,Lekki,Hot Veggie,4000,4,08:39:28,Before 9:00am
1468,2015-12-06,Gbagada,BBQ Chicken,4000,4,08:39:29,Before 9:00am
1469,2015-12-04,Gbagada,BBQ Philly Steak,4000,1,08:39:29,Before 9:00am
1470,2015-12-06,Lekki,Pepperoni Feast,4000,5,08:39:34,Before 9:00am
1471,2015-12-05,Lekki,Margarita,4000,5,08:39:35,Before 9:00am
1472,2015-12-08,Ibadan,Hot Veggie,4000,1,08:39:37,Before 9:00am
1473,2015-12-12,Surulere,Extravaganza,2000,5,08:39:37,Before 9:00am
1474,2015-12-08,Surulere,Meatzaa,2000,2,08:39:38,Before 9:00am
1475,2015-12-03,Ibadan,Italiano,3000,3,08:39:39,Before 9:00am
1476,2015-12-04,Ikoyi,Pepperoni Suya,3000,3,08:39:41,Before 9:00am
1477,2015-12-10,Ikoyi,Pepperoni Suya,3000,4,08:39:41,Before 9:00am
1478,2015-12-15,Ikoyi,Veggie Supreme,3000,3,08:39:42,Before 9:00am
1479,2015-12-14,Gbagada,Extravaganza,2000,2,08:39:42,Before 9:00am
1480,2015-12-05,Ikoyi,Pepperoni Feast,4000,4,08:39:42,Before 9:00am
1481,2015-12-06,Lekki,Chicken Legend,2000,1,08:39:45,Before 9:00am
1482,2015-12-09,Lekki,Italiano,3000,5,08:39:47,Before 9:00am
1483,2015-12-05,Gbagada,Veggie Supreme,3000,3,08:39:48,Before 9:00am
1484,2015-12-07,Ibadan,Chicken Legend,2000,4,08:39:54,Before 9:00am
1485,2015-12-15,Surulere,Chicken Legend,2000,3,08:39:56,Before 9:00am
1486,2015-12-09,Ibadan,Hot Veggie,4000,1,08:39:57,Before 9:00am
1487,2015-12-10,Surulere,Chicken Bali,2000,4,08:39:57,Before 9:00am
1488,2015-12-09,Surulere,BBQ Chicken,4000,3,08:39:59,Before 9:00am
1489,2015-12-12,Gbagada,Chicken Bali,2000,1,08:40:02,Before 9:00am
1490,2015-12-12,Gbagada,Italiano,3000,1,08:40:04,Before 9:00am
1491,2015-12-03,Surulere,Pepperoni Feast,4000,4,08:40:05,Before 9:00am
1492,2015-12-12,Lekki,Chicken Bali,2000,4,08:40:07,Before 9:00am
1493,2015-12-15,Ikoyi,BBQ Philly Steak,4000,2,08:40:07,Before 9:00am
1494,2015-12-10,Lekki,Chicken Suya,4000,3,08:40:09,Before 9:00am
1495,2015-12-12,Lekki,Chicken Suya,4000,1,08:40:11,Before 9:00am
1496,2015-12-04,Ikoyi,Hot Pepperoni Feast,4000,1,08:40:11,Before 9:00am
1497,2015-12-07,Ibadan,Hot Veggie,4000,2,08:40:15,Before 9:00am
1498,2015-12-13,Gbagada,Hot Veggie,4000,2,08:40:18,Before 9:00am
1499,2015-12-12,Ibadan,Extravaganza,2000,4,08:40:23,Before 9:00am
1500,2015-12-15,Lekki,Hot Pepperoni Feast,4000,3,08:40:23,Before 9:00am
1501,2015-12-04,Gbagada,Meatzaa,2000,1,08:40:24,Before 9:00am
1502,2015-12-09,Surulere,Chicken Bali,2000,1,08:40:26,Before 9:00am
1503,2015-12-12,Lekki,Chicken Legend,2000,2,08:40:27,Before 9:00am
1504,2015-12-04,Lekki,Margarita,4000,4,08:40:27,Before 9:00am
1505,2015-12-06,Ibadan,BBQ Philly Steak,4000,1,08:40:30,Before 9:00am
1506,2015-12-05,Ikoyi,Hot Veggie,4000,5,08:40:31,Before 9:00am
1507,2015-12-09,Ikoyi,Pepperoni Feast,4000,2,08:40:31,Before 9:00am
1508,2015-12-03,Ibadan,BBQ Chicken,4000,3,08:40:31,Before 9:00am
1509,2015-12-08,Lekki,Margarita,4000,2,08:40:34,Before 9:00am
1510,2015-12-12,Surulere,Chicken Legend,2000,3,08:40:38,Before 9:00am
1511,2015-12-15,Gbagada,BBQ Chicken,4000,1,08:40:38,Before 9:00am
1512,2015-12-07,Lekki,Veggie Supreme,3000,4,08:40:42,Before 9:00am
1513,2015-12-07,Gbagada,Margarita,4000,5,08:40:42,Before 9:00am
1514,2015-12-14,Lekki,Hot Veggie,4000,3,08:40:43,Before 9:00am
1515,2015-12-15,Lekki,Hot Veggie,4000,4,08:40:46,Before 9:00am
1516,2015-12-07,Ibadan,Hot Pepperoni Feast,4000,5,08:40:47,Before 9:00am
1517,2015-12-08,Ikoyi,Pepperoni Suya,3000,1,08:40:51,Before 9:00am
1518,2015-12-06,Lekki,Pepperoni Feast,4000,2,08:40:51,Before 9:00am
1519,2015-12-15,Surulere,Chicken Feast,2000,4,08:40:53,Before 9:00am
1520,2015-12-12,Ikoyi,Meatzaa,2000,1,08:40:54,Before 9:00am
1521,2015-12-10,Surulere,Chicken Suya,4000,5,08:40:55,Before 9:00am
1522,2015-12-09,Gbagada,Chicken Bali,2000,5,08:40:55,Before 9:00am
1523,2015-12-12,Lekki,Italiano,3000,3,08:40:57,Before 9:00am
1524,2015-12-15,Surulere,Margarita,4000,1,08:41:02,Before 9:00am
1525,2015-12-06,Surulere,Extravaganza,2000,4,08:41:02,Before 9:00am
1526,2015-12-09,Gbagada,Beef Suya,3000,3,08:41:03,Before 9:00am
1527,2015-12-04,Surulere,Beef Suya,3000,5,08:41:03,Before 9:00am
1528,2015-12-13,Lekki,Beef Suya,3000,4,08:41:07,Before 9:00am
1529,2015-12-12,Surulere,BBQ Philly Steak,4000,5,08:41:08,Before 9:00am
1530,2015-12-14,Gbagada,Chicken Suya,4000,2,08:41:09,Before 9:00am
1531,2015-12-05,Ikoyi,Chicken Legend,2000,5,08:41:10,Before 9:00am
1532,2015-12-09,Gbagada,Chicken Legend,2000,2,08:41:11,Before 9:00am
1533,2015-12-08,Gbagada,Beef Suya,3000,2,08:41:12,Before 9:00am
1534,2015-12-07,Gbagada,Chicken Bali,2000,4,08:41:13,Before 9:00am
1535,2015-12-06,Ibadan,Chicken Bali,2000,3,08:41:16,Before 9:00am
1536,2015-12-11,Ibadan,Margarita,4000,2,08:41:17,Before 9:00am
1537,2015-12-12,Ikoyi,BBQ Chicken,4000,1,08:41:21,Before 9:00am
1538,2015-12-03,Ibadan,Veggie Supreme,3000,4,08:41:22,Before 9:00am
1539,2015-12-11,Surulere,Veggie Supreme,3000,2,08:41:22,Before 9:00am
1540,2015-12-09,Gbagada,Hot Veggie,4000,5,08:41:23,Before 9:00am
1541,2015-12-10,Lekki,BBQ Chicken,4000,4,08:41:23,Before 9:00am
1542,2015-12-05,Ikoyi,BBQ Chicken,4000,1,08:41:23,Before 9:00am
1543,2015-12-08,Lekki,Hot Pepperoni Feast,4000,3,08:41:23,Before 9:00am
1544,2015-12-05,Lekki,BBQ Chicken,4000,4,08:41:27,Before 9:00am
1545,2015-12-13,Lekki,BBQ Philly Steak,4000,2,08:41:28,Before 9:00am
1546,2015-12-10,Lekki,Chicken Feast,2000,2,08:41:32,Before 9:00am
1547,2015-12-09,Ibadan,Chicken Feast,2000,5,08:41:33,Before 9:00am
1548,2015-12-14,Ikoyi,Beef Suya,3000,3,08:41:34,Before 9:00am
1549,2015-12-10,Ibadan,Pepperoni Feast,4000,1,08:41:35,Before 9:00am
1550,2015-12-14,Gbagada,Margarita,4000,3,08:41:36,Before 9:00am
1551,2015-12-08,Surulere,Hot Pepperoni Feast,4000,4,08:41:37,Before 9:00am
1552,2015-12-04,Gbagada,BBQ Chicken,4000,1,08:41:38,Before 9:00am
1553,2015-12-03,Ikoyi,Hot Veggie,4000,1,08:41:41,Before 9:00am
1554,2015-12-10,Gbagada,Pepperoni Suya,3000,2,08:41:42,Before 9:00am
1555,2015-12-07,Surulere,Pepperoni Feast,4000,3,08:41:46,Before 9:00am
1556,2015-12-04,Gbagada,Veggie Supreme,3000,2,08:41:49,Before 9:00am
1557,2015-12-04,Gbagada,Veggie Supreme,3000,1,08:41:52,Before 9:00am
1558,2015-12-05,Ikoyi,Beef Suya,3000,3,08:41:53,Before 9:00am
1559,2015-12-06,Ibadan,Veggie Supreme,3000,5,08:41:53,Before 9:00am
1560,2015-12-11,Lekki,Margarita,4000,3,08:41:55,Before 9:00am
1561,2015-12-06,Gbagada,Pepperoni Suya,3000,5,08:41:57,Before 9:00am
1562,2015-12-09,Ibadan,Veggie Supreme,3000,4,08:41:58,Before 9:00am
1563,2015-12-03,Surulere,Extravaganza,2000,5,08:41:58,Before 9:00am
1564,2015-12-14,Surulere,Chicken Bali,2000,2,08:42:04,Before 9:00am
1565,2015-12-08,Ibadan,Margarita,4000,1,08:42:05,Before 9:00am
1566,2015-12-05,Surulere,Extravaganza,2000,4,08:42:06,Before 9:00am
1567,2015-12-08,Ikoyi,Chicken Suya,4000,5,08:42:07,Before 9:00am
1568,2015-12-12,Surulere,Margarita,4000,3,08:42:08,Before 9:00am
1569,2015-12-09,Gbagada,BBQ Chicken,4000,1,08:42:09,Before 9:00am
1570,2015-12-08,Surulere,Veggie Supreme,3000,3,08:42:10,Before 9:00am
1571,2015-12-08,Ibadan,Pepperoni Suya,3000,3,08:42:10,Before 9:00am
1572,2015-12-15,Ibadan,Italiano,3000,5,08:42:11,Before 9:00am
1573,2015-12-04,Gbagada,Chicken Bali,2000,3,08:42:14,Before 9:00am
1574,2015-12-12,Ibadan,Pepperoni Feast,4000,3,08:42:14,Before 9:00am
1575,2015-12-06,Ikoyi,Pepperoni Feast,4000,2,08:42:14,Before 9:00am
1576,2015-12-12,Surulere,Veggie Supreme,3000,2,08:42:14,Before 9:00am
1577,2015-12-11,Ikoyi,Hot Veggie,4000,3,08:42:17,Before 9:00am
1578,2015-12-09,Lekki,Meatzaa,2000,5,08:42:19,Before 9:00am
1579,2015-12-14,Gbagada,Chicken Feast,2000,1,08:42:20,Before 9:00am
1580,2015-12-07,Lekki,Hot Pepperoni Feast,4000,2,08:42:21,Before 9:00am
1581,2015-12-12,Lekki,Hot Pepperoni Feast,4000,1,08:42:26,Before 9:00am
1582,2015-12-04,Lekki,BBQ Philly Steak,4000,3,08:42:28,Before 9:00am
1583,2015-12-10,Gbagada,BBQ Philly Steak,4000,2,08:42:28,Before 9:00am
1584,2015-12-07,Surulere,Meatzaa,2000,3,08:42:31,Before 9:00am
1585,2015-12-05,Surulere,Hot Pepperoni Feast,4000,1,08:42:32,Before 9:00am
1586,2015-12-11,Ibadan,Hot Pepperoni Feast,4000,3,08:42:32,Before 9:00am
1587,2015-12-14,Ikoyi,Meatzaa,2000,1,08:42:32,Before 9:00am
1588,2015-12-15,Lekki,Chicken Legend,2000,3,08:42:34,Before 9:00am
1589,2015-12-13,Ibadan,Hot Pepperoni Feast,4000,5,08:42:36,Before 9:00am
1590,2015-12-04,Lekki,Pepperoni Suya,3000,2,08:42:36,Before 9:00am
1591,2015-12-13,Ibadan,Chicken Bali,2000,4,08:42:36,Before 9:00am
1592,2015-12-03,Ibadan,Beef Suya,3000,5,08:42:37,Before 9:00am
1593,2015-12-13,Gbagada,Hot Veggie,4000,2,08:42:41,Before 9:00am
1594,2015-12-10,Ibadan,Margarita,4000,3,08:42:42,Before 9:00am
1595,2015-12-13,Ikoyi,Chicken Suya,4000,2,08:42:43,Before 9:00am
1596,2015-12-09,Lekki,Chicken Feast,2000,1,08:42:45,Before 9:00am
1597,2015-12-10,Surulere,Chicken Feast,2000,5,08:42:45,Before 9:00am
1598,2015-12-07,Ibadan,Italiano,3000,4,08:42:45,Before 9:00am
1599,2015-12-12,Gbagada,BBQ Chicken,4000,4,08:42:46,Before 9:00am
1600,2015-12-09,Surulere,Chicken Legend,2000,4,08:42:47,Before 9:00am
1601,2015-12-10,Ikoyi,Chicken Bali,2000,4,08:42:48,Before 9:00am
1602,2015-12-04,Surulere,Margarita,4000,1,08:42:50,Before 9:00am
1603,2015-12-03,Ikoyi,BBQ Chicken,4000,5,08:42:52,Before 9:00am
1604,2015-12-11,Lekki,Meatzaa,2000,3,08:42:53,Before 9:00am
